,BU_Level1,BU_Level2,BU_Level3,BU_Level4,yandex_category_id,yandex_category_name
0,"Рукоделие, творчество, хобби",Хобби детское,Моделирование,Модель для сборки,10683226,Сборные модели
1,"Рукоделие, творчество, хобби",Хобби детское,Моделирование,"Аксессуары, принадлежности для сборных моделей",10683226,Сборные модели
2,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,Часы для детской комнаты,15587458,Часы настенные
3,Канцелярские товары,Чертежные принадлежности,"Линейка, транспортир",Набор геометрический,90752,Чертежные инструменты
4,"Парфюмерия, косметика",Парфюмерия,Парфюмерия для мужчин,Туалетная вода мужская,15927546,Парфюмерия
5,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья мужские,Средство после бритья мужское,8480722,Средства для бритья
6,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья мужские,Средство для бритья мужское,8480722,Средства для бритья
7,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая",Фляга для туризма,936950,Туристическая посуда
8,Галантерея,Бижутерия,Брелок бижу,Бижу брелок,7812196,Брелоки и ключницы
9,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Посуда для туризма, пикника",936950,Туристическая посуда
10,"Парфюмерия, косметика",Косметика для ухода за кожей,Уход за лицом и телом для мужчин,Средства для ухода за лицом и телом мужские,8480713,Уход за лицом
11,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Серьги авторские,1634405,Серьги
12,"Рукоделие, творчество, хобби",Хобби детское,Моделирование,Сборная деревянная модель,10683226,Сборные модели
13,Спортивные товары и товары для активного отдыха,Туризм,"Мультитул, нож туристический",Мультитул,15032315,Ножи и мультитулы
14,Канцелярские товары,Офисные и школьные канц. аксессуары,Глобус,Глобус для обучения,13858925,Глобусы
15,"Детские товары, игрушки",Спортивные товары для детей,Спортивный комплекс детский,Игрушка для песочницы,13488366,Наборы в песочницу
16,"Парфюмерия, косметика",Косметическая техника,Массажная техника,Электромассажер для тела,6203660,Другие массажеры
17,"Парфюмерия, косметика",Косметическая техника,Массажная техника,Электромассажер для глаз и головы,6203660,Другие массажеры
18,Канцелярские товары,Писче-бумажная продукция,Конверты,Конверт сувенир,91007,Открытки
19,Галантерея,Путешествия,"Дорожные сумки, тележки",Сумка для активного отдыха,7812201,Сумки
20,Спортивные товары и товары для активного отдыха,Туризм,"Мультитул, нож туристический","Чехол для ножа, мультитула",15032315,Ножи и мультитулы
21,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая",Аккумулятор холода,187621,Сумки-холодильники
22,Одежда,Одежда спортивная,Термобелье спортивное,"Термобелье мужское- кофта, футболка",8276629,Термобелье
23,"Парфюмерия, косметика",Косметическая техника,Массажная техника,Массажная накидка,6203656,Массажные кресла
24,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда мужская,Маска для сна,14732443,Дорожные аксессуары
25,"Детские товары, игрушки",Спортивные товары для детей,"Снегокат, тюбинг, сноускейт, ледянка",Тюбинг,13488215,Тюбинги
26,Одежда,Одежда спортивная,Термобелье спортивное,Термобелье мужское - штаны,8276629,Термобелье
27,Одежда,Одежда спортивная,Термобелье спортивное,Спортивные термоноски,7814955,Термобелье
28,"Рукоделие, творчество, хобби",Рукоделие и творчество для взрослых,Создание украшений,Аксессуары для создания украшений,13626503,Наборы для создания украшений
29,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Женский Кошелек,7812200,Кошельки
30,"Рукоделие, творчество, хобби",Хобби детское,Моделирование,Военно-историческая миниатюра,10682608,Солдатики
31,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,Бинт для бокса,961222,Аксессуары и принадлежности
32,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,"Лапы, макивара для бокса",961226,Тренировочные снаряды
33,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,Капа,294675,Спортивная защита
34,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,Перчатки для бокса,14730866,Боксерские
35,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,"Груша, мешок, стойка для бокса",961226,Тренировочные снаряды
36,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Жаровня, коптильня",5017483,"Грили, барбекю, коптильни"
37,Канцелярские товары,Чертежные принадлежности,"Линейка, транспортир",Линейка,90752,Чертежные инструменты
38,Канцелярские товары,Чертежные принадлежности,"Линейка, транспортир",Линейка-угольник,90752,Чертежные инструменты
39,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Футбол,Гетры футбольные,7940846,Аксессуары
40,Электроника и электротовары,Игровые приставки и аксессуары,Геймпад для игровой приставки,Геймпад для игровой приставки,91117,"Рули, джойстики, геймпады"
41,Галантерея,Кожгалантереи,"Ремень, пояс, подтяжки",Женский кожаный ремень,7812175,Ремни и пояса
42,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские","Кулон, подвеска авторские",1634401,Кулоны и подвески
43,Одежда,Одежда спортивная,Термобелье спортивное,Термобелье мужское- комплект,8276629,Термобелье
44,"Детские товары, игрушки",Спортивные товары для детей,"Снегокат, тюбинг, сноускейт, ледянка",Ледянка,91572,Ледянки
45,"Парфюмерия, косметика",Косметическая техника,Массажная техника,Массажная подушка,15806939,Массажные матрасы и подушки
46,Галантерея,Бижутерия,Браслет бижу,Бижу браслет со вставками женский,1634396,Браслеты
47,Галантерея,Путешествия,"Дорожные сумки, тележки",Сумка дорожная для путешествий,7812208,Дорожные и спортивные сумки
48,Спортивные товары и товары для активного отдыха,Туризм,"Мультитул, нож туристический",Нож туристический,15032315,Ножи и мультитулы
49,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая",Термос для туризма,90701,Термосы и термокружки
50,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Термопосуда для туризма, пикника",936950,Туристическая посуда
51,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Термоконтейнер, термосумка походная",187621,Сумки-холодильники
52,Галантерея,Бижутерия,Браслет бижу,Бижу шарм на браслет,"1634396,16742659","Браслеты,Украшения на тело"
53,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Мужская Зажим для денежных банкнот,7812200,Кошельки
54,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Мужское Портмоне,7812200,Кошельки
55,"Рукоделие, творчество, хобби",Рисование для детей,Товары для художников,Бумага для художников,13828968,Бумага для рисования
56,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Горелка, плитка газовая туристическая",13446358,Туристические горелки
57,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Столовые приборы для туризма, пикника",936950,Туристическая посуда
58,Галантерея,Путешествия,"Дорожные сумки, тележки",Косметичка дорожная,7812212,Косметички и бьюти-кейсы
59,"Рукоделие, творчество, хобби",Рукоделие и творчество для взрослых,Создание украшений,Материалы для создания украшений,13626503,Наборы для создания украшений
60,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Мужской Бумажник водителя,7812200,Кошельки
61,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Футбол,Мяч для футбола,14304975,Мячи
62,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Футбол,Перчатки для футбола,7812170,Перчатки и варежки
63,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Женская Визитница/кредитница,7812198,Визитницы и кредитницы
64,Канцелярские товары,Писче-бумажная продукция,"Бланки, этикетки",Бейдж,14419975,Бейджи
65,Канцелярские товары,Писче-бумажная продукция,"Бланки, этикетки",Держатель для бейджа,14419975,Бейджи
66,Одежда,Одежда спортивная,Термобелье спортивное,"Термобелье женское- кофта, футболка",7811902,Футболки и топы
67,"Рукоделие, творчество, хобби",Рисование для детей,Товары для художников,Альбом для художников,13626008,Альбомы для рисования
68,Галантерея,Аксессуары,Головные уборы,Женская шапка трикотажная,7811935,Головные уборы
69,Галантерея,Аксессуары,Головные уборы,Женский берет,7811935,Головные уборы
70,Галантерея,Аксессуары,Головные уборы,Мужская шапка трикотажная,7812167,Головные уборы
71,"Рукоделие, творчество, хобби",Рукоделие и творчество для взрослых,"Мозаика, гравюра, стразы",Набор для создания мозаики,15521478,Алмазная вышивка
72,"Рукоделие, творчество, хобби",Рукоделие и творчество для взрослых,"Мозаика, гравюра, стразы",Набор для создания картины со стразами,15521478,Алмазная вышивка
73,Одежда,Одежда мужская,Основная одежда мужская,Футболка мужская,7940839,Футболки и майки
74,Текстиль,"Покрывало, чехол",Чехол,Еврочехол,11911278,Чехлы для мебели
75,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для мужчин,Воск для укладки мужской,13239550,Воск и паста
76,"Детские товары, игрушки",Товары для детской комнаты,Диапроектор,Диафильм,13483029,Диапроекторы и диафильмы
77,Обувь,Обувь мужская,Обувь мужская летняя,Мужские Кеды,7815007,Кроссовки и кеды
78,Электроника и электротовары,Фото и видео,Фотокамера,Компактная фотокамера,91148,Фотоаппараты
79,Продукты питания,Кондитерские изделия,"Зефир, пастила",Пастила,91343,"Зефир, пастила"
80,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,Выжигание для детей,Прибор для выжигания детский,10792938,Выжигание и выпиливание
81,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,Выжигание для детей,Набор для выжигания детский,10792938,Выжигание и выпиливание
82,Канцелярские товары,Писче-бумажная продукция,"Ежедневники, еженедельники, планнер",Ежедневник недатированный,90747,"Ежедневники, записные книжки"
83,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья мужские,Средства и наборы для ухода за бородой,14990285,Для бороды и усов
84,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Открытка авторская,91007,Открытки
85,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для мужчин,Пудра для волос мужская,4748072,Пудра
86,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для мужчин,Паста для волос мужская,13239550,Воск и паста
87,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для мужчин,Гель для укладки мужской,13240862,Гели и лосьоны
88,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для мужчин,Жидкость для укладки мужская,13239550,Воск и паста
89,"Парфюмерия, косметика",Декоративная косметика,Набор для макияжа,Набор для макияжа,4748064,Тени
90,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,Фотоальбом детский,90608,Фотоальбомы
91,Галантерея,Аксессуары,Головные уборы,Мужская бейсболка,7812167,Головные уборы
92,Галантерея,Аксессуары,Головные уборы,Мужское кепи,7812167,Головные уборы
93,"Мебель, интерьер и декор",Коллекционирование Хоум Декор,Аксессуары для коллекционирования,Аксессуары для коллекционирования монет,6101499,Нумизматика и филателия
94,"Мебель, интерьер и декор",Коллекционирование Хоум Декор,Аксессуары для коллекционирования,"Аксессуары для коллекционирования банкнот, ценных бумаг",6101499,Нумизматика и филателия
95,Канцелярские товары,Чертежные принадлежности,"Линейка, транспортир",Транспортир,90752,Чертежные инструменты
96,Обувь,Обувь мужская,Обувь мужская летняя,Мужское Сабо,7814998,Сабо
97,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Зажигалка для туризма, огниво",13446358,Туристические горелки
98,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,Декор настенный для детской,5110759,Интерьерные наклейки
99,Галантерея,Аксессуары,Головные уборы,Женская шляпа,7811935,Головные уборы
100,Продукты питания,Кондитерские изделия,Восточные сладости,Цукаты,91388,Сухофрукты
101,Продукты питания,Кондитерские изделия,"Зефир, пастила",Зефир,91343,"Зефир, пастила"
102,"Парфюмерия, косметика",Косметическая техника,Массажная техника,Массажные коврики и механические массажеры,6203660,Другие массажеры
103,Канцелярские товары,Писче-бумажная продукция,"Бланки, этикетки","Бланк грамоты, диплома",1568900,"Дипломы, медали, значки"
104,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Женская Ключница,7812196,Брелоки и ключницы
105,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек","Сумка, конверт, чехол для документов",7812201,Сумки
106,Галантерея,Сумки,Сумка мужская,Мужская Сумка,7812201,Сумки
107,"Детские товары, игрушки",Товары для здоровья беременных и кормящих,Предметы для здоровья беременных и кормящих,Подушка для беременных и кормящих,10752772,Подушки и кресла для мам
108,"Детские товары, игрушки",Товары для здоровья беременных и кормящих,Предметы для здоровья беременных и кормящих,Чехол на подушку для беременных и кормящих,10752772,Подушки и кресла для мам
109,"Детские товары, игрушки",Спортивные товары для детей,Товары для подвижных игр,Игрушка для подвижных игр,10682647,Настольные игры
110,Электроника и электротовары,Фото и видео,Фотокамера,Фотокамера со сменным объективом,91148,Фотоаппараты
111,Одежда,Одежда мужская,Основная одежда мужская,Брюки мужские,8268538,Брюки
112,Одежда,Одежда мужская,Основная одежда мужская,Рубашка мужская,7812145,Рубашки
113,"Детские товары, игрушки",Товары для детской комнаты,Диапроектор,Диапроектор,13483029,Диапроекторы и диафильмы
114,Продукты питания,Кондитерские изделия,Восточные сладости,Халва,91344,Восточные сладости
115,Продукты питания,Кондитерские изделия,Восточные сладости,Рахат лукум,91344,Восточные сладости
116,Одежда,Одежда мужская,Основная одежда мужская,Джемпер мужской,7811909,Свитеры и кардиганы
117,"Парфюмерия, косметика",Косметика для ухода за кожей,Набор косметики для ухода за кожей женский,Набор косметики для ухода за лицом женский,8480738,Наборы
118,"Детские товары, игрушки",Спортивные товары для детей,Товары для подвижных игр,"Снежкометатель, снежный бластер",10682597,Игрушечное оружие и бластеры
119,Продукты питания,Кондитерские изделия,"Зефир, пастила",Маршмеллоу,7811902,Футболки и топы
120,Спортивные товары и товары для активного отдыха,Зимние виды спорта,Лыжный спорт,Ботинки лыжные,91535,Ботинки
121,Спортивные товары и товары для активного отдыха,Зимние виды спорта,Лыжный спорт,"Чехол, сумка, рюкзак для лыж",13098075,Сумки и чехлы
122,Спортивные товары и товары для активного отдыха,Зимние виды спорта,Лыжный спорт,"Смазка, парафин для лыж",13096151,Аксессуары и комплектующие
123,Спортивные товары и товары для активного отдыха,Зимние виды спорта,Лыжный спорт,Лыжи,91532,Беговые лыжи
124,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда мужская,Комплект домашний мужской,7811911,Домашняя одежда
125,Одежда,Одежда мужская,Основная одежда мужская,Джинсы мужские,7812152,Брюки
126,Одежда,Одежда мужская,Основная одежда мужская,Шорты мужские,7812153,Шорты
127,"Мебель, интерьер и декор",Коллекционирование Хоум Декор,Аксессуары для коллекционирования,Разное аксессуары для коллекционирования,,
128,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда женская,Халат женский,7811911,Домашняя одежда
129,Канцелярские товары,Писче-бумажная продукция,"Бланки, этикетки",Этикетка универсальная,91046,Бумага и пленка
130,Канцелярские товары,Писче-бумажная продукция,Конверты,"Конверт почтовый, деловой",90740,Конверты
131,Одежда,Одежда мужская,Основная одежда мужская,Поло мужское,7812151,Футболки и майки
132,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Футбол,Аксессуар для футбола,396901,Аксессуары и принадлежности
133,Канцелярские товары,Писче-бумажная продукция,"Бланки, этикетки",Лента для бейджа,14419975,Бейджи
134,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья мужские,Набор средств для бритья мужской,8480722,Средства для бритья
135,Канцелярские товары,Писче-бумажная продукция,"Ежедневники, еженедельники, планнер","Планер, планинг",90747,"Ежедневники, записные книжки"
136,Одежда,Одежда мужская,Основная одежда мужская,Пиджак мужской,7811899,Жакеты
137,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для мужчин,Лак для волос мужской,13239503,Лаки и спреи
138,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для мужчин,Помада для укладки мужская,13239550,Воск и паста
139,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая",Растопка для костра,13776889,Очаги для костра
140,Одежда,Одежда мужская,Основная одежда мужская,"Толстовка, свитшот мужские",7811908,Толстовки
