23 февраля,8 марта,BU_Level1,BU_Level2,BU_Level3,BU_Level4,IT,ItemEAN,Qty,Unnamed: 11,Unnamed: 12,Unnamed: 13,age,baseprice,child,date,id,man,name,woman,Бокс,Видеоигры,Видеомонтаж,Вне праздника,Годовщина отношений,День Святого Валентина,День рождения,Кино,Кулинария,Музыка,Настольные игры,Новый год,Рисование,Рукоделие,Спорт,Туризм,Фотография,Футбол,Цветоводство,Чтение,cat_ya_id,cat_ya
1,0,"Рукоделие, творчество, хобби",Хобби детское,Моделирование,Модель для сборки,0,4600327072153,1,,,,7.0,421.06,1,2020-02-06 17:33:50,,0,Звезда Сборная модель Российский сверхманевренный истребитель пятого поколения Су-47 Беркут,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10683226,Сборные модели
1,0,"Рукоделие, творчество, хобби",Хобби детское,Моделирование,"Аксессуары, принадлежности для сборных моделей",0,4600327072351,1,,,,11.0,89.9,1,2020-02-05 19:16:29,,0,Звезда Подставка для моделей самолетов и вертолетов,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10683226,Сборные модели
1,0,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,Часы для детской комнаты,0,4607147354209,1,,,,11.0,63.75,1,2020-02-07 14:01:58,,0,"Часы ""Щенок""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15587458,Часы настенные
1,0,Канцелярские товары,Чертежные принадлежности,"Линейка, транспортир",Набор геометрический,0,8593540111692,1,,,,39.75,152.79,0,2020-02-05 18:54:50,,0,"Геометрический набор ""Koh-i-Noor"", 4 предмета",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90752,Чертежные инструменты
1,0,"Парфюмерия, косметика",Парфюмерия,Парфюмерия для мужчин,Туалетная вода мужская,0,8411061695951,1,,,,36.9675,1314.4,0,2020-02-06 08:06:35,,1,Antonio Banderas Seduction In Black Eau De Toilette мужской 100мл,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15927546,Парфюмерия
1,0,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья мужские,Средство после бритья мужское,0,4005808222285,1,,,,37.126959247648905,346.6,0,2020-02-09 08:46:33,,1,"Nivea Men Экстремальная свежесть Лосьон после бритья, с ментолом, 100 мл",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8480722,Средства для бритья
1,0,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья мужские,Средство для бритья мужское,0,3014260214692,1,,,,55.0,272.47,0,2020-02-05 14:23:36,,1,"Gillette Гель Для Бритья Series Для Чувствительной Кожи, 200 мл",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8480722,Средства для бритья
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая",Фляга для туризма,0,8099999997806,1,,,,37.0,548.96,0,2020-02-09 17:23:51,,0,"Фляга ""S.Quire"", цвет: серебристый, 270 мл",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,936950,Туристическая посуда
1,0,Галантерея,Бижутерия,Брелок бижу,Бижу брелок,0,5393331456123,1,,,,38.0,59.0,0,2020-02-06 21:23:55,,0,"Брелок ""Символ года""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812196,Брелоки и ключницы
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Посуда для туризма, пикника",0,6939994217856,1,,,,41.91549295774648,1700.0,0,2020-02-05 07:22:25,,0,"Набор походной посуды KingCamp ""Camper 4"" KP3903, 6 предметов",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,936950,Туристическая посуда
